tconst,parentTconst,seasonNumber,episodeNumber
tt28028554,tt27580377,1.0,9.0
tt28028555,tt8171352,8.0,47.0
tt28028556,tt11760808,,
tt28028563,tt8171352,8.0,48.0
tt28028568,tt8171352,8.0,49.0
tt28028569,tt28021438,,
tt28028570,tt28021438,,
tt28028572,tt28021438,,
tt28028573,tt28021438,,
tt28028574,tt28021438,,
tt28028583,tt27989286,1.0,8.0
tt28028584,tt8688814,5.0,1.0
tt28028593,tt27867864,1.0,2.0
tt2802860,tt0185065,,
tt2802864,tt0185065,,
tt2802866,tt0185065,,
tt2802868,tt0185065,,
tt2802870,tt0185065,,
tt2802872,tt0185065,,
tt2802876,tt2087310,1.0,1.0
tt2802878,tt0185065,,
tt2802880,tt0185065,,
tt2802882,tt1480165,1.0,943.0
tt28028849,tt8171352,8.0,50.0
tt28028850,tt27943496,,
tt28028852,tt27943496,,
tt28028855,tt27943496,,
tt28028857,tt28021104,1.0,1.0
tt28028858,tt8171352,8.0,51.0
tt2802886,tt0185065,,
tt28028860,tt28021104,1.0,2.0
tt28028861,tt28021104,1.0,3.0
tt28028863,tt28021104,1.0,4.0
tt28028864,tt8171352,8.0,52.0
tt28028865,tt28021104,1.0,5.0
tt28028867,tt12818792,,
tt28028868,tt13951868,3.0,11.0
tt28028871,tt8171352,8.0,53.0
tt28028875,tt0870872,18.0,127.0
tt28028878,tt7892026,6.0,119.0
tt28028879,tt27722982,1.0,38.0
tt2802888,tt2002907,5.0,2.0
tt28028881,tt27722982,1.0,35.0
tt28028883,tt27722982,1.0,37.0
tt28028884,tt27722982,1.0,39.0
tt28028885,tt27722982,1.0,36.0
tt28028889,tt8477610,,
tt28028891,tt28028480,1.0,1.0
tt28028896,tt13481488,,
tt28028898,tt28027371,1.0,1.0
tt2802890,tt0185065,,
tt28028900,tt28027371,1.0,2.0
tt28028904,tt28027617,1.0,1.0
tt28028906,tt28027617,1.0,2.0
tt28028908,tt10833096,,
tt28028910,tt12393272,1.0,117.0
tt28028912,tt28027617,1.0,3.0
tt28028915,tt28027617,1.0,4.0
tt28028918,tt28028421,1.0,1.0
tt28028919,tt0056758,,
tt28028920,tt28028421,1.0,2.0
tt28028921,tt28028421,1.0,3.0
tt28028923,tt15360946,4.0,2.0
tt28028924,tt28028518,1.0,1.0
tt28028926,tt27545715,,
tt28028927,tt28028518,1.0,2.0
tt28028928,tt15360946,4.0,3.0
tt28028929,tt28028518,1.0,3.0
tt28028932,tt15360946,4.0,4.0
tt2802896,tt0185065,,
tt2802900,tt2087310,1.0,4.0
tt28029036,tt20202580,1.0,78.0
tt2802904,tt2087310,1.0,5.0
tt2802906,tt0185065,,
tt28029069,tt5915398,,
tt28029071,tt15360946,4.0,5.0
tt28029072,tt5915398,,
tt28029073,tt15360946,4.0,6.0
tt28029075,tt15360946,4.0,7.0
tt28029077,tt5915398,,
tt28029079,tt15360946,4.0,8.0
tt2802908,tt0185065,,
tt28029081,tt15003408,,
tt28029084,tt15360946,4.0,9.0
tt28029090,tt15360946,4.0,10.0
tt28029095,tt15360946,4.0,11.0
tt28029096,tt8681190,5.0,50.0
tt28029098,tt11465274,,
tt28029099,tt15360946,4.0,12.0
tt2802910,tt0185065,,
tt28029101,tt15360946,4.0,13.0
tt28029105,tt15360946,4.0,14.0
tt28029106,tt28024621,1.0,1.0
tt28029108,tt15360946,4.0,15.0
tt28029110,tt28024621,1.0,2.0
tt28029112,tt28024621,1.0,3.0
tt28029113,tt28024621,1.0,4.0
tt28029114,tt28024621,1.0,5.0
tt28029115,tt26457524,,
tt28029117,tt28024621,1.0,6.0
tt28029118,tt0123366,26.0,178.0
tt28029119,tt28024621,1.0,7.0
tt2802912,tt1178692,,
tt28029121,tt0123366,26.0,179.0
tt28029122,tt0123366,26.0,180.0
tt28029123,tt0123366,26.0,181.0
tt28029126,tt28024621,1.0,8.0
tt28029127,tt0123366,26.0,182.0
tt28029128,tt28024621,1.0,9.0
tt28029130,tt28024621,1.0,10.0
tt28029134,tt9648040,1.0,161.0
tt28029135,tt28024621,1.0,11.0
tt28029136,tt28024621,1.0,12.0
tt28029140,tt28024621,1.0,13.0
tt28029143,tt15185844,,
tt28029148,tt23012644,1.0,3.0
tt28029149,tt15185844,,
tt28029153,tt24515556,1.0,10.0
tt2802916,tt2087310,1.0,2.0
tt2802918,tt2087310,1.0,3.0
tt2802920,tt0199184,9.0,6.0
tt2802922,tt1178692,,
tt2802924,tt0185065,,
tt28029301,tt15185844,,
tt28029311,tt15185844,,
tt28029312,tt28028480,1.0,2.0
tt28029327,tt28018710,,
tt28029328,tt28018710,,
tt28029330,tt28018710,,
tt28029333,tt28018710,,
tt28029334,tt28018710,,
