tconst,directors,writers
tt0930733,nm0453008,"nm0201727,nm0122528,nm0318795,nm0011826,nm2871770,nm0424825,nm0036713,nm0353955,nm0672632,nm0043853"
tt0930734,nm0453008,"nm0201727,nm0122528,nm0318795,nm0011826,nm2871770,nm0424825,nm0036713,nm0353955,nm0672632,nm0043853"
tt0930735,nm0453008,"nm0201727,nm0122528,nm0318795,nm0011826,nm2871770,nm0424825,nm0036713,nm0353955,nm0672632,nm0043853"
tt0930736,nm0453008,"nm0201727,nm0122528,nm0318795,nm0011826,nm2871770,nm0424825,nm0036713,nm0353955,nm0672632,nm0043853"
tt0930737,nm0453008,"nm0201727,nm0122528,nm0318795,nm0011826,nm2871770,nm0424825,nm0036713,nm0353955,nm0672632,nm0043853"
tt0930738,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930739,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930740,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930741,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930742,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930743,nm0224188,"nm1649536,nm1975330,nm1976453"
tt0930744,nm0224188,"nm1649536,nm1975330,nm1976453"
tt0930745,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930746,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930747,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930748,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930749,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930750,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930751,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930752,nm0224188,"nm1649536,nm1975330,nm1976453"
tt0930753,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930754,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930755,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930756,nm0224188,"nm2068235,nm1649536,nm1975330,nm1976453"
tt0930757,nm0477520,"nm1038854,nm0933403"
tt0930758,nm0156711,"nm1038854,nm0933403"
tt0930759,nm0086556,"nm1038854,nm0933403"
tt0930760,nm1482324,"nm2499532,nm1482324"
tt0930761,,
tt0930762,,
tt0930763,nm2137668,
tt0930764,nm0656494,
tt0930766,nm0169486,nm0169486
tt0930767,nm2497543,
tt0930768,nm0503410,"nm0077220,nm0115367,nm0503410"
tt0930769,nm1100592,
tt0930770,nm2501713,
tt0930771,,
tt0930772,"nm1580693,nm2504679",nm1580693
tt0930773,nm1388099,
tt0930774,nm2498946,
tt0930775,nm0503410,
tt0930776,nm2500072,
tt0930777,,
tt0930778,"nm2499323,nm2492164",
tt0930779,nm0656494,
tt0930780,nm1482324,
tt0930781,nm0534502,
tt0930782,nm0534502,
tt0930783,nm0173916,
tt0930784,nm0439137,"nm0329825,nm0439137,nm0872707"
tt0930785,nm1482324,
tt0930786,"nm0449136,nm2500202",
tt0930787,nm2128184,
tt0930788,,
tt0930789,nm1482324,
tt0930790,nm0167461,
tt0930791,nm1508268,nm1508268
tt0930792,"nm1445407,nm0706589",
tt0930793,nm0095414,
tt0930794,nm0420112,
tt0930795,nm0671321,nm0671321
tt0930796,"nm0264590,nm0926526","nm0387671,nm0596429,nm0628008,nm0773759"
tt0930797,"nm0180902,nm0264590,nm0926526","nm0387671,nm0596429,nm0628008,nm0773759"
tt0930798,"nm0264590,nm0926526","nm0387671,nm0596429,nm0628008,nm0773759"
tt0930799,,
tt0930800,,
tt0930801,,
tt0930802,nm2499953,nm0580582
tt0930803,nm0027413,nm0120607
tt0930804,nm0358759,nm2038702
tt0930805,nm0371601,nm0120607
tt0930806,nm0000750,nm2497711
tt0930807,nm0006960,nm0254110
tt0930808,nm16900964,"nm0344467,nm0447461"
tt0930809,nm0495148,"nm0103730,nm0430210"
