tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt4169468,short,Awake,Awake,0,2014.0,,10.0,Short
tt4169470,tvEpisode,Cançó d'amor i de guerra,Cançó d'amor i de guerra,0,1965.0,,,
tt4169472,tvEpisode,Els fugitius de la Plaça Reial,Els fugitius de la Plaça Reial,0,1965.0,,,
tt4169474,short,Tired Lungs,Tired Lungs,0,2015.0,,,"Drama,Short"
tt4169476,short,Heart of the Mind Child,Heart of the Mind Child,0,,,,"Fantasy,Short"
tt4169478,tvEpisode,Els milions de l'oncle,Els milions de l'oncle,0,1965.0,,,
tt4169482,tvEpisode,Episode #35.27,Episode #35.27,0,1998.0,,,Music
tt4169484,short,Piano Lessons,Piano Lessons,0,2015.0,,,"Drama,Short"
tt4169486,tvEpisode,Episode #1.33,Episode #1.33,0,2013.0,,,News
tt4169488,tvEpisode,Mar i cel,Mar i cel,0,1965.0,,,
tt4169490,tvEpisode,"Bigger, Better, Badder","Bigger, Better, Badder",0,2014.0,,22.0,Reality-TV
