tconst,averageRating,numVotes
tt13970298,7.0,672
tt13970300,7.2,576
tt13970302,6.5,529
tt13970304,7.4,456
tt13970306,7.3,418
tt13970308,7.2,367
tt13970336,7.9,45
tt1397034,6.9,9
tt13970358,7.5,50
tt1397036,4.1,24
tt13970360,4.3,182
tt13970398,6.2,138
tt13970418,6.6,7
tt1397043,6.4,5
tt13970440,7.4,5
tt13970444,6.5,40
tt1397046,7.6,12
tt13970484,6.2,8
tt1397053,8.5,10
tt1397056,8.5,9
tt1397067,8.1,13
tt1397079,6.0,28
tt1397082,6.6,24
tt13970824,6.4,63
tt1397083,7.4,19
tt1397086,8.2,79
tt1397087,7.2,18
tt1397093,6.2,244
tt1397095,8.2,15
tt1397097,6.8,17
tt13971004,7.1,19
tt1397105,8.0,10
tt1397111,6.0,5
tt1397115,6.8,5
tt1397116,7.8,9
tt13971160,7.6,19
tt13971162,7.7,10
tt1397118,8.3,159
tt1397119,6.6,32
tt13971234,7.2,6
tt13971236,7.8,182
tt1397126,7.6,13
tt13971274,6.8,8
tt13971296,8.9,38589
tt1397130,7.5,21
tt1397131,6.7,80
tt1397133,7.9,38
tt13971350,1.7,163
tt1397136,8.0,11
tt13971374,8.3,654
tt1397138,6.3,10
tt13971404,7.4,52
tt13971426,7.7,159
tt13971432,7.7,147
tt1397147,5.7,160
tt13971482,6.9,7
tt13971512,7.1,1056
tt1397152,3.5,34
tt13971564,7.7,127
tt13971576,8.0,369
tt13971578,8.0,476
tt1397159,4.6,16
tt13971590,2.6,29
tt13971594,9.2,12
tt1397163,7.0,25
tt13971644,5.9,60
tt13971664,7.1,24
tt1397167,4.8,30
tt1397171,4.8,167
tt13971712,6.8,22
tt13971720,9.0,13
tt1397173,5.6,10
tt13971732,8.8,9
tt13971750,8.9,8
tt1397176,6.0,1096
tt1397178,6.2,32
tt13971790,8.4,31
tt13971812,5.0,7
tt13971846,8.0,14
tt1397186,6.3,56
tt1397187,5.8,15
tt1397190,7.1,48
tt1397191,8.2,8
tt13971910,2.8,27
tt13971916,7.2,1385
tt1397192,5.2,12
tt1397201,6.2,10
tt13972010,7.5,538
tt1397202,7.2,84
tt13972044,4.8,116
tt1397206,6.7,18
tt13972064,8.8,18
tt1397209,4.3,13
tt1397210,6.6,16
tt13972104,7.1,11
tt1397212,6.5,17
tt13972128,5.0,42
tt1397214,7.2,6
tt13972164,6.2,13
tt1397218,7.2,9
tt13972188,2.4,27
tt1397219,6.7,1178
tt1397220,4.6,28
tt1397221,6.4,23
tt13972226,7.4,25
tt13972228,7.2,175
tt13972240,7.3,220
tt13972244,7.7,65
tt13972246,8.0,1633
tt1397225,1.8,9
tt13972258,6.0,42
tt13972260,7.4,5
tt13972268,6.8,8
tt13972272,8.1,204
tt1397229,7.4,8
tt13972302,9.2,38
tt13972310,9.5,44
tt13972312,9.3,36
tt13972320,8.3,8
tt13972322,6.4,10
tt13972328,6.5,8
tt13972332,5.8,21
tt13972334,6.1,8
tt13972348,6.7,518
tt13972350,5.6,5
tt13972352,7.2,5
tt13972358,7.6,38
tt1397236,5.5,9
tt1397237,6.5,72
tt13972370,7.7,25
tt1397241,6.8,17
tt1397243,8.2,96
tt13972450,8.1,71
tt13972476,5.8,432
tt1397248,7.6,151
tt1397256,8.2,946
tt1397258,8.2,9
tt1397259,7.0,310
tt1397263,9.4,11
tt1397265,6.6,1746
tt13972664,7.3,132
tt13972668,7.4,301
tt13972672,7.8,305
tt1397268,6.7,35
tt13972688,5.1,18
tt13972714,7.0,11
tt1397277,7.3,15
tt13972790,3.9,7
tt1397280,6.2,332007
tt13972822,6.6,8
tt1397285,6.5,7
tt1397286,7.5,84
tt13972864,8.5,12
tt13972904,5.6,21
tt13972908,7.4,101
tt1397291,8.7,7
tt13972912,7.4,91
tt13972926,6.2,8
tt1397293,8.4,6
tt13972930,4.7,50
tt13972932,5.3,9
tt13972968,6.6,34
tt13973010,6.8,36
tt13973070,8.9,9
tt13973100,6.9,261
tt13973126,7.0,9
tt13973144,5.2,7
tt13973164,6.9,14
tt1397317,7.6,10
tt1397318,7.2,15
tt1397319,7.4,14
tt13973190,8.5,2589
tt13973198,6.9,307
tt13973230,9.7,10
tt1397324,8.2,46
tt1397332,6.2,7
tt13973352,8.4,9
tt13973354,6.5,10
